,mean,mean,mean,mean,mean,standard_deviation,standard_deviation,standard_deviation,standard_deviation,standard_deviation
max_buses,1,2,4,8,16,1,2,4,8,16
date,,,,,,,,,,
1952-03-01,74257.2,72723.5,67384.0,51762.2,27927.5,17116.54695706273,18696.260685257654,23319.49194224532,30464.780728645404,39452.48513859566
1952-04-01,72687.4,71376.4,65954.0,50427.1,26451.3,15646.442330446876,17316.433288129003,21898.02540565397,28617.91698472208,37107.18760578753
1952-05-01,64745.5,63343.0,58002.4,42429.8,18287.5,27342.79244151921,27907.013252346922,29551.212177431156,30740.91747275391,32847.821372877144
1952-06-01,64678.1,63523.9,58116.7,42406.7,18433.5,27363.6295815774,28149.919654315967,29842.12613459928,31041.216070286653,33424.80295047045
1952-07-01,64689.0,63641.4,58050.3,42499.3,18462.6,27464.89740256339,28337.07587125625,30084.931861684883,31435.90381518842,33773.592432879006
1952-08-01,64636.5,63722.8,58091.4,42518.7,18523.1,27490.346706717897,28451.705478270054,30254.583502889825,31658.725629051394,34149.00362772927
1952-09-01,64667.0,63706.5,58050.2,42477.0,18333.3,27706.24029588521,28653.338565417547,30559.949562931037,32087.38584968658,34551.172358466276
1952-10-01,64771.9,63848.6,58100.2,42459.5,18621.8,27827.0076981578,28786.715856836156,30760.74318131255,32316.95665075328,35143.05853002047
1952-11-01,56399.4,54990.7,48666.6,33022.0,9419.9,30638.32126312116,32131.409486150256,32964.32364171235,29517.733404401723,24430.871196773423
1952-12-01,56506.0,54801.4,48608.7,32992.9,9187.2,30904.07044387519,32204.88410232902,33143.54823776249,29829.268041267416,24810.235543689087
1953-01-01,56411.8,55238.3,48767.6,33050.2,9211.0,30982.84305439598,32731.57068930376,33712.98940303112,30470.54465034862,25799.502299247728
1953-02-01,56517.6,55132.5,48652.4,32949.3,9273.4,31252.15248124697,32904.08836890773,33915.7546812687,30832.94618513702,26566.673091592696
1953-03-01,56354.5,55100.9,48439.8,32790.8,9416.6,31305.27845889394,33072.01034594393,34029.00078462487,31069.58290962043,27513.349722150033
1953-04-01,56593.0,54995.9,48521.3,32589.6,9189.8,31672.569284968202,33147.47540730331,34264.378043060664,31345.750923104926,27882.136024503016
1953-05-01,56482.7,55246.5,48523.0,32784.7,9344.8,31823.54057420038,33598.80881238368,34720.13938144066,31894.164506484045,28948.862222124648
1953-06-01,56406.2,55175.4,48622.4,32644.6,9142.0,31950.24313174749,33814.050850694206,35268.757635555514,32319.46630541208,29433.37911283718
1953-07-01,56412.5,55116.8,48411.0,32419.9,9090.2,32143.456891635728,33973.6186369496,35311.34105826814,32463.121683432313,30193.56154252463
1953-08-01,56404.1,55340.1,48649.0,32328.2,9118.8,32302.588569992688,34354.84369682583,35983.924861588464,32746.329354261645,31100.965325497178
