statistic,mean,mean,mean,mean,mean,standard_deviation,standard_deviation,standard_deviation,standard_deviation,standard_deviation
max_buses,1,2,4,8,16,1,2,4,8,16
date,,,,,,,,,,
1952-03-01,79957.0,77105.0,70017.25,54480.25,25290.0,11664.887912020416,12379.456153913494,16723.77910591184,27290.813623818547,48605.14082549979
1952-04-01,75972.5,73093.25,65951.25,50497.5,21227.0,6453.9642856154705,5515.323645686322,9309.725394267367,19943.50896072872,41748.14845395342
1952-05-01,56102.0,53196.25,46002.0,30509.5,1111.5,37376.5476825598,35124.60175219073,30217.78734454262,20331.831635803665,15253.717109828236
1952-06-01,55882.75,52950.25,45931.0,30143.75,588.5,37358.5529553363,35088.74857058883,30303.908955776646,20235.737666728797,15470.154071630961
1952-07-01,55894.75,53162.25,45701.0,30252.75,780.5,37429.30299800768,35297.34302913842,30280.674574168035,20650.701979593818,17007.924907720713
1952-08-01,55705.25,52960.25,45422.75,29931.5,774.0,37423.12659639758,35286.08012021171,30224.304859665506,20610.013140865936,18202.101545334448
1952-09-01,55486.0,52714.25,45122.25,29522.5,244.25,37405.21251554833,35250.16037197562,30152.046977223068,20470.77266901928,18408.05532685804
1952-10-01,55498.0,52929.25,45136.5,29594.25,304.25,37481.93371923777,35484.244479064226,30309.252564192342,20888.16552301007,19704.906045195952
1952-11-01,55315.75,52690.0,44887.5,29244.0,128.0,37479.661278930114,35452.37243589395,30275.804558535958,20821.3472346692,20584.351062558828
1952-12-01,55097.25,52445.0,44590.0,28936.75,-216.25,37462.805806782104,35417.75557541726,30206.32208660962,20804.680248684428,21122.91449863552
1953-01-01,55108.0,52655.25,44548.5,28755.0,-534.75,37545.42758668047,35671.11100386418,30333.640615659704,20948.838138028877,21736.930883866746
1953-02-01,54888.5,52408.5,44284.5,28623.5,-391.25,37527.874391355195,35635.290153629074,30291.001672664002,21167.006251869127,23227.303263975064
1953-03-01,54723.5,52174.25,44001.0,28301.25,-478.75,37536.210184300704,35608.42805081404,30232.44135031109,21131.97319032623,24203.8019516907
1953-04-01,54734.0,52157.5,43863.0,27892.5,-998.75,37626.36738600561,35727.18189744796,30291.67081338807,20998.86029446995,24443.843660862065
1953-05-01,54515.25,52141.75,43565.5,28021.25,-803.25,37609.959092196135,35851.82721866023,30222.948593191013,21578.860262998136,26012.380774995076
1953-06-01,54361.5,51909.5,43278.75,27685.75,-948.5,37624.54862187718,35826.92042305618,30163.489026470397,21548.918586555566,26965.238641628966
1953-07-01,54143.25,51665.0,43181.5,27290.75,-1494.75,37609.129763706755,35793.95169578235,30260.08078310433,21433.14888010314,27134.810242871914
1953-08-01,54152.5,51873.25,42880.0,27358.5,-1529.25,37705.93891771782,36090.187765051414,30189.447074543557,21973.423106107068,28300.511625233914
1953-09-01,53940.0,51641.0,42659.75,27029.5,-1840.75,37693.17725176976,36066.66119839761,30186.964685384763,21961.44798656652,28945.094487955408
1953-10-01,53721.75,51396.5,42362.75,26701.25,-2174.0,37677.741637691965,36033.718584126174,30119.349543386004,21944.927088433593,29523.505494210316
1953-11-01,53730.75,51608.25,42150.0,26646.0,-2514.5,37780.292599669825,36353.95344273669,30124.74507775958,22338.98116148839,30118.674832513243
1953-12-01,53526.0,51362.0,41866.0,26309.25,-2650.5,37773.15436479547,36321.188976500576,30069.900897741583,22317.385754533767,31075.721890247376
