statistic,mean,mean,mean,mean,mean,standard_deviation,standard_deviation,standard_deviation,standard_deviation,standard_deviation
max_buses,1,2,4,8,16,1,2,4,8,16
date,,,,,,,,,,
1961-09-01,44445.9,47570.34,42503.74,26973.12,11408.84,38702.32783920716,49802.831511836004,63656.91032620073,70475.24982331581,82653.4639945623
1961-10-01,44436.9,47651.46,42466.44,26946.62,11385.1,38805.78916218559,50066.444819516735,63980.85847717205,70880.94174838795,83223.8464033805
1961-11-01,44378.6,47634.32,42483.32,27018.92,11333.52,38997.762550679545,50360.87296678983,64294.325642422584,71424.53287949943,83785.9793376005
1961-12-01,44421.64,47532.98,42478.1,26899.78,11272.98,39234.143372239814,50474.76985522933,64636.86856719987,71798.37176548714,84340.8699588032
1962-01-01,44324.12,47604.72,42456.44,26942.04,11295.1,39275.6405336978,50799.627925296576,64909.95511465187,72253.66974733913,84989.03647355983
1962-02-01,44390.36,47632.86,42508.04,26933.62,11180.38,39503.54417773738,51028.05464384374,65358.60206363545,72766.53924987551,85491.19001606456
1962-03-01,44333.1,47571.5,42518.24,27081.14,11364.78,39672.49665893314,51271.25501592645,65853.25755243817,73477.07940576032,86361.51346314218
1962-04-01,44297.76,47540.72,42443.7,27033.2,11411.1,39882.13059962714,51483.23081811222,66151.32267030352,73953.6585649612,87098.39450411173
1962-05-01,44253.9,47476.7,42471.62,27028.9,11240.12,40094.16370233698,51733.25142330154,66628.16887800778,74500.10769017009,87583.4463060369
1962-06-01,44191.38,47421.9,42523.78,26863.7,11256.88,40196.06671025292,51981.95003262072,66980.48365962387,74780.33629844255,88242.35283642291
1962-07-01,44217.04,47390.44,42505.88,26948.96,11312.26,40345.42626682024,52090.22667553455,67210.39938746118,75232.17679873366,88817.01082903257
1962-08-01,44251.4,47492.82,42616.34,26978.52,11419.12,40545.87380753221,52397.18547344281,67679.00196700146,75779.89369629677,89583.45553514865
1962-09-01,44273.3,47486.32,42419.66,26924.44,11388.66,40768.782297368205,52685.58519601477,67771.92169798008,76225.55867123065,90157.42795699541
1962-10-01,44024.58,47291.66,42333.94,26680.68,11326.78,40699.07833088197,52732.04782657394,67979.38213852125,76354.54202718542,90799.91991552031
1962-11-01,43944.7,47160.48,42145.84,26008.94,11240.5,40781.030004833156,52602.26947313282,67944.01208839346,75823.0893320331,91354.14560932749
1962-12-01,43743.4,46769.88,41936.14,24965.46,11080.3,40711.437541981904,52345.1535045402,67894.96073452923,74880.3606363443,91825.85515412157
1963-01-01,43580.7,46481.58,41018.58,23891.3,10913.0,40732.19734135518,52263.17088878757,66970.5561187961,74002.36647381278,92314.48286378558
1963-02-01,43410.48,46269.5,41086.84,23324.92,9928.3,40766.63086610251,52292.78475427698,67499.12637722182,73724.41578036908,90837.32129387645
1963-03-01,43518.48,46363.84,41023.48,23049.26,9343.14,40877.03950712355,52581.86038944128,67381.59961671846,73470.62612956144,89723.64128744419
1963-04-01,43431.86,46386.7,41068.92,23118.48,9197.42,41019.50105319992,52780.87337487213,67756.70726610384,73900.02429986067,90006.47570605174
1963-05-01,43476.2,46128.04,40916.56,22715.78,8211.16,41299.35418974244,52654.51856027832,68000.71410974374,73736.37629524992,89022.65657234886
1963-06-01,43327.74,46067.84,40556.66,22440.18,7220.64,41395.99356381124,52892.75246149957,67874.60327440266,73911.28039107814,88055.82340690338
1963-07-01,43285.82,45895.96,40268.26,22390.74,6838.66,41562.45369280956,52947.72770209024,67846.60034399029,74475.38617551605,88026.92647848945
1963-08-01,43224.74,45970.08,40138.4,22118.36,6776.32,41719.649222119966,53275.583471973194,67972.45306680028,74637.09870412834,88659.36376584764
1963-09-01,43164.1,45911.36,40010.44,21755.22,6634.6,41884.27303126011,53523.7029387534,68284.0096162479,74764.40614500939,89261.68267904139
1963-10-01,43113.56,45845.46,39856.78,21332.56,6462.4,42024.3242319182,53665.452511211166,68228.55351647586,74212.83794329905,89726.93620612916
1963-11-01,43130.12,45767.48,39543.68,20846.46,5697.26,42211.38508170419,53888.47365122504,68197.10563384846,73807.87776388486,89429.29143955017
1963-12-01,43044.86,45793.1,39595.3,20491.28,5802.82,42304.31558484842,54084.59868529099,68365.22285825727,73679.97074276493,90196.06975162728
1964-01-01,42964.1,45833.48,39661.12,20785.6,5932.06,42431.0966118444,54376.281121662236,68942.80674903137,74735.35313712388,91169.19044963173
1964-02-01,42904.16,45858.46,39736.2,20655.5,5904.9,42634.667814915156,54756.27053615851,69523.99672173102,75106.23847787824,91939.73203630824
1964-03-01,42757.7,45746.8,39659.98,20583.72,5606.7,42734.94440186639,54911.67922831598,69854.28601067237,75546.9785287139,92417.24257448623
1964-04-01,42735.62,45834.38,39875.44,20838.52,5849.08,42906.88317022416,55337.743339918496,70615.65776279249,76407.82323853108,93417.80172022014
1964-05-01,42735.14,45922.72,39931.14,20727.12,6004.7,43055.200020159224,55625.0409416185,71071.85706375066,76758.73264223718,94318.19692332622
1964-06-01,42654.36,45862.0,39935.84,20674.5,5938.4,43213.721978263966,55896.764493272116,71470.69907179174,77349.58143555209,95120.67307115842
1964-07-01,42485.5,45816.98,40030.42,20843.28,6134.58,43301.50147901034,56213.85639498068,72052.31236332135,78176.50737053105,96166.2614115846
1964-08-01,42435.36,45788.14,40046.08,20791.26,6066.52,43442.47532587414,56482.908953391765,72487.6435887848,78703.46846616411,96918.43827130402
1964-09-01,42473.56,45769.6,40182.1,21147.26,6241.5,43654.35725974708,56666.27416078549,72906.85808822047,79576.97296759988,97838.81933959192
1964-10-01,42330.9,45881.86,40348.82,21182.9,6242.3,43711.0750852944,57170.83529784631,73650.37963787881,80179.90200493143,98601.66762265934
1964-11-01,42241.38,45940.14,40333.22,21160.6,6355.5,43866.18925773597,57473.41222811871,74010.91039489531,80703.18835317068,99540.51699895057
1964-12-01,42184.34,45986.32,40382.84,21178.58,6341.82,44055.28045378479,57840.58017796918,74505.64084722384,81452.29911215972,100353.71351999216
